date,sentiment,price,price_change,sentiment_change,price_volatility,sentiment_volatility,extreme_sentiment,price_ma30
2017-08-02,0.06256582342425607,2711.504736842105,-1.9300887892969687,0.017326526661017964,,,normal,
2017-08-03,0.0618263327304451,2745.320416666667,1.2471185967369625,-0.0007394906938109694,,,normal,
2017-08-04,0.055103823776691964,2827.9737499999997,3.0106989636455417,-0.006722508953753134,,,extremely_negative,
2017-08-05,0.0898774277908602,3161.7587499999995,11.802973772298975,0.03477360401416824,,,normal,
2017-08-06,0.0648568392422246,3232.088333333333,2.2243817094942386,-0.025020588548635606,,,normal,
2017-08-07,0.0665348542800882,3310.54625,2.4274682055410057,0.0016780150378635922,,,normal,
2017-08-08,0.06214762000857494,3418.4137499999997,3.2582991402098527,-0.004387234271513253,4.1974626817114835,0.01898421632952198,normal,
2017-08-09,0.07579944148985426,3339.5966666666664,-2.3056624825866456,0.013651821481279323,4.274887451104389,0.018548988162848466,normal,
2017-08-10,0.09847693389519407,3395.0304166666665,1.659893560000758,0.02267749240533981,4.24791062177237,0.020046756765880275,normal,
2017-08-11,0.08723878241807165,3509.1895833333333,3.362537375401531,-0.011238151477122427,4.2480138675756445,0.020561743047092695,normal,
2017-08-12,0.09188222609995257,3760.365,7.15764739128395,0.004643443681880924,2.7953084621984967,0.015790386030691887,normal,
2017-08-13,0.0820260869565217,4053.87,7.805226354356565,-0.009856139143430878,3.416840825111244,0.012420370905026918,normal,
2017-08-14,0.08819974126433354,4170.839583333333,2.885380718506836,0.006173654307811846,3.400851016589682,0.012489671365081258,normal,
2017-08-15,0.08668378466560188,4068.289333333333,-2.458743568316335,-0.0015159565987316603,4.063422054417468,0.012247794227922918,normal,
2017-08-16,0.0866926311320576,4174.440416666667,2.609231414874813,8.846466455714186e-06,3.456483718183849,0.01142169218542302,normal,
2017-08-17,0.08972874002539129,4348.17125,4.161775375681587,0.0030361088933336944,3.3886706152400543,0.0068762669004512385,normal,
2017-08-18,0.07580813407696026,4224.677083333333,-2.8401403616903798,-0.01392060594843103,4.191139338366108,0.0075658532335198675,normal,
2017-08-19,0.0879505738280827,4052.3504166666667,-4.079049434251624,0.012142439751122447,4.373990883270328,0.008998032093635505,normal,
2017-08-20,0.10108691674684746,4060.8091666666664,0.20873688428351134,0.013136342918764754,3.245869412454292,0.00923321549003028,normal,
2017-08-21,0.09596776847899692,4022.2925,-0.9484973335568747,-0.005119148267850537,3.006163051885777,0.00951216007940714,normal,
2017-08-22,0.06833832033656607,3918.8841666666667,-2.570880494974781,-0.027629448142430846,3.0187492734026526,0.014517324708352607,normal,
2017-08-23,0.08148547335038857,4144.093333333333,5.746767627945104,0.013147153013822493,3.7100910200476056,0.015713952360373942,normal,
2017-08-24,0.09806660406870017,4182.012083333333,0.915007142696278,0.016581130718311604,3.2736713582558363,0.01703539357246558,normal,
2017-08-25,0.09315091015278833,4357.416666666667,4.194262948985195,-0.004915693915911845,3.5102041223671496,0.016013393327968972,normal,
2017-08-26,0.10820371782612348,4306.566666666667,-1.1669758457801938,0.015052807673335153,3.015428635273146,0.016340591757366598,normal,
2017-08-27,0.09443648040843133,4340.183333333333,0.7805908805932127,-0.013767237417692146,3.0009371676961494,0.01669003282641257,normal,
2017-08-28,0.08591235219494235,4307.824583333334,-0.745561823425267,-0.008524128213488982,2.97996329410224,0.01688032435078997,normal,
2017-08-29,0.08980981378169732,4467.942916666667,3.7169186032509183,0.003897461586754969,2.6453809508928914,0.012315705892928382,normal,
2017-08-30,0.07776952971067254,4575.460416666667,2.4064206281358302,-0.012040284071024782,2.081172425519869,0.012556994009744799,normal,
2017-08-31,0.09175709356388025,4674.329166666666,2.1608481113694733,0.013987563853207707,2.081769686910551,0.011993554598819298,normal,3862.0746912280697
2017-09-01,0.100400213922385,4802.6483333333335,2.7451889263967466,0.008643120358504758,1.8414002600969883,0.01232741686733788,normal,3931.7794777777776
2017-09-02,0.10213000910801574,4682.21375,-2.5076702472142998,0.0017297951856307392,2.1911029173647947,0.010727176606055825,normal,3996.3425888888887
2017-09-03,0.10255441272907212,4577.1137499999995,-2.244664716556355,0.00042440362105637675,2.560059414727497,0.009100666527179195,normal,4054.647255555556
2017-09-04,0.04494580425517842,4355.34625,-4.8451384892936105,-0.0576086084738937,3.3246819687182496,0.024196029459094163,extremely_negative,4094.4335055555557
2017-09-05,0.05034720638687168,4255.818333333334,-2.285189533821008,0.00540140213169326,3.0286616886713555,0.024303470544575396,extremely_negative,4128.557838888889
2017-09-06,0.07206080912522536,4534.252916666667,6.5424452249880805,0.021713602738353682,3.9792456122144517,0.026103255223345938,normal,4169.348061111111
2017-09-07,0.08808050825539397,4583.573333333333,1.0877297224726412,0.01601969913016861,3.8992014413944176,0.026305839081856776,normal,4208.186713888889
2017-09-08,0.06419076132808932,4478.914583333333,-2.283344072164939,-0.023889746927304653,3.72205925332573,0.02727216848599995,normal,4246.163977777778
2017-09-09,0.07058784883924575,4293.101250000001,-4.148624178383975,0.006397087511156432,3.8857873888484824,0.02752493226861361,normal,4276.099672222223
2017-09-10,0.07977582132313761,4179.84625,-2.6380696239111767,0.00918797248389186,3.906741216397072,0.027982066678820756,normal,4298.454894444444
2017-09-11,0.046246875979808484,4212.218333333333,0.774480241547959,-0.033528945343329127,3.6043749748402276,0.020725573467580763,extremely_negative,4313.516672222222
2017-09-12,0.00618101707178693,4253.875,0.9889484202900256,-0.04006585890802156,3.5339727824316136,0.025413157661546025,extremely_negative,4320.183505555556
